Date,In,Out
2016-8-16,155427,157846 
2016-8-17,146016,145247 
2016-8-18,159511,158894 
2016-8-19,177598,184709 
2016-8-20,184441,185893 
2016-8-21,180519,174242 
2016-8-22,157592,154428 
2016-8-23,154523,152890 
2016-8-24,155643,155645 
2016-8-25,157825,158962 
2016-8-26,174981,181787 
2016-8-27,186597,185760 
2016-8-28,170310,165832 
2016-8-29,146674,145146 
2016-8-30,138916,139412 
2016-8-31,139142,139963 
2016-9-1,142150,144820 
2016-9-2,166018,174072 
2016-9-3,191131,188548 
2016-9-4,169902,164717 
2016-9-5,147923,146232 
2016-9-6,142646,142256 
2016-9-7,145346,143488 
2016-9-8,146971,147556 
2016-9-9,163969,166059 
2016-9-10,168908,169052 
2016-9-11,181173,177619 
2016-9-12,147696,149166 
2016-9-13,147396,154786 
2016-9-14,137027,173523 
2016-9-15,105727,143367 
2016-9-16,144695,147530 
2016-9-17,103465,84592 
2016-9-18,199109,151290 
2016-9-19,147936,131356 
2016-9-20,131141,130646 
2016-9-21,132333,132600 
2016-9-22,134441,135631 
2016-9-23,162453,172615 
2016-9-24,177781,180972 
2016-9-25,170990,164281 
2016-9-26,140243,138658 
2016-9-27,123300,121810
2016-9-28,77970,77215 
2016-9-29,138638,136608 
2016-9-30,162934,175743 
2016-10-1,175382,176941 
2016-10-2,166155,159042 
2016-10-3,140183,136342 
2016-10-4,135184,136227 
2016-10-5,137366,137367 
2016-10-6,140000,142651 
2016-10-7,175288,203082 
2016-10-8,170952,189517 
2016-10-9,154714,154707 
2016-10-10,181404,149948 
2016-10-11,143395,134070 
2016-10-12,134859,134036 
2016-10-13,133598,135355 
2016-10-14,164181,175808 
2016-10-15,180159,182253 
2016-10-16,175281,168339 
2016-10-17,139862,135819 
2016-10-18,131912,132514 
2016-10-19,133845,133362 
2016-10-20,133788,134442 
2016-10-21,163009,174143 
2016-10-22,176420,179324 
2016-10-23,173104,165924 
2016-10-24,140048,136316 
2016-10-25,129925,128175 
2016-10-26,135626,135358 
2016-10-27,136532,137938 
2016-10-28,165225,181095 
2016-10-29,179009,185721 
2016-10-30,171631,164693 
2016-10-31,143827,130329 
2016-11-1,129746,128289 
2016-11-2,128529,128113 
2016-11-3,132585,133185 
2016-11-4,163915,177107 
2016-11-5,178688,182240 
2016-11-6,172921,163641 
2016-11-7,139647,136148 
2016-11-8,129636,129971 
2016-11-9,130657,129492 
2016-11-10,139299,142776 
2016-11-11,167602,182111 
2016-11-12,176142,180991 
2016-11-13,191545,180625 
2016-11-14,145843,137882 
2016-11-15,134112,133372 
2016-11-16,134083,134724 
2016-11-17,140191,142660 
2016-11-18,174206,190025 
2016-11-19,179972,185824 
2016-11-20,187837,174787 
2016-11-21,147687,141005 
2016-11-22,136132,135763 
2016-11-23,141029,141285 
2016-11-24,143056,144683 
2016-11-25,173661,189903 
2016-11-26,187693,188756 
2016-11-27,182112,171904 
2016-11-28,146498,139161 
2016-11-29,131965,131102 
2016-11-30,132774,132377 
2016-12-1,140705,143386 
2016-12-2,173284,186097 
2016-12-3,199618,198910 
2016-12-4,192280,186218 
2016-12-5,148427,143276 
2016-12-6,137880,137820 
2016-12-7,141603,141719 
2016-12-8,144219,145117 
2016-12-9,183214,193434 
2016-12-10,233639,225425 
2016-12-11,207182,202318 
2016-12-12,153726,150069 
2016-12-13,139919,139619 
2016-12-14,142725,142718 
